Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
2002,,,,,,,
   Março, 4 454,  289,  279,  500, 1 155, 1 802,  430
   Abril, 4 522,  306,  279,  502, 1 187, 1 837,  411
   Maio, 4 472,  297,  288,  508, 1 140, 1 801,  439
   Junho, 4 402,  303,  287,  497, 1 130, 1 762,  423
   Julho, 4 428,  317,  283,  535, 1 087, 1 762,  443
   Agosto, 4 434,  295,  305,  533, 1 094, 1 755,  452
   Setembro, 4 551,  315,  315,  539, 1 080, 1 841,  460
   Outubro, 4 498,  301,  313,  561, 1 056, 1 803,  464
   Novembro, 4 590,  311,  303,  560, 1 084, 1 866,  467
   Dezembro, 4 564,  309,  305,  539, 1 087, 1 850,  475
2003,,,,,,,
  Janeiro, 4 593,  330,  296,  540, 1 134, 1 841,  452
  Fevereiro, 4 638,  334,  283,  541, 1 185, 1 835,  460
  Março, 4 582,  328,  277,  527, 1 157, 1 831,  462
  Abril, 4 552,  323,  299,  555, 1 124, 1 790,  461
  Maio, 4 619,  327,  296,  564, 1 151, 1 825,  457
  Junho, 4 661,  317,  286,  543, 1 217, 1 861,  437
  Julho, 4 630,  309,  286,  532, 1 208, 1 858,  436
  Agosto, 4 638,  323,  279,  549, 1 204, 1 852,  431
  Setembro, 4 751,  317,  285,  555, 1 188, 1 961,  445
  Outubro, 4 664,  332,  289,  541, 1 198, 1 849,  454
  Novembro, 4 697,  321,  299,  546, 1 176, 1 897,  457
  Dezembro, 4 742,  337,  295,  554, 1 145, 1 943,  468
2004,,,,,,,
  Janeiro, 4 606,  317,  287,  530, 1 144, 1 876,  453
  Fevereiro, 4 590,  312,  285,  535, 1 159, 1 842,  458
  Março, 4 644,  319,  270,  538, 1 172, 1 895,  451
  Abril, 4 665,  317,  265,  538, 1 191, 1 903,  451
  Maio, 4 670,  311,  262,  539, 1 188, 1 912,  458
  Junho, 4 655,  309,  276,  537, 1 180, 1 912,  441
  Julho, 4 651,  285,  282,  546, 1 185, 1 914,  439
  Agosto, 4 662,  291,  280,  558, 1 170, 1 918,  446
  Setembro, 4 680,  291,  300,  556, 1 178, 1 907,  448
  Outubro, 4 677,  299,  311,  552, 1 168, 1 899,  448
  Novembro, 4 691,  309,  314,  558, 1 149, 1 929,  432
  Dezembro, 4 669,  313,  310,  546, 1 133, 1 926,  440
2005,,,,,,,
  Janeiro, 4 612,  316,  310,  515, 1 115, 1 931,  425
  Fevereiro, 4 470,  309,  296,  520, 1 094, 1 838,  414
  Março, 4 605,  304,  288,  519, 1 122, 1 939,  434
  Abril, 4 569,  307,  280,  516, 1 133, 1 902,  431
  Maio, 4 622,  301,  292,  537, 1 113, 1 928,  451
  Junho, 4 628,  301,  297,  538, 1 131, 1 906,  455
  Julho, 4 571,  304,  306,  530, 1 143, 1 854,  434
  Agosto, 4 589,  291,  305,  544, 1 141, 1 864,  446
  Setembro, 4 597,  283,  308,  551, 1 161, 1 862,  432
  Outubro, 4 610,  288,  314,  550, 1 143, 1 891,  424
  Novembro, 4 634,  292,  305,  534, 1 119, 1 940,  443
  Dezembro, 4 562,  306,  302,  501, 1 110, 1 902,  442
2006,,,,,,,
 Janeiro, 4 520,  302,  316,  489, 1 090, 1 898,  425
