Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
2002,,,,,,,
   Março, 3 475,  211,  222,  356,  901, 1 489,  296
   Abril, 3 487,  212,  229,  354,  895, 1 489,  308
   Maio, 3 431,  209,  234,  352,  882, 1 455,  300
   Junho, 3 493,  199,  238,  370,  914, 1 468,  303
   Julho, 3 477,  201,  244,  350,  902, 1 470,  310
   Agosto, 3 550,  198,  249,  358,  928, 1 505,  311
   Setembro, 3 531,  200,  266,  353,  925, 1 478,  309
   Outubro, 3 561,  206,  267,  359,  939, 1 480,  310
   Novembro, 3 613,  201,  272,  352,  941, 1 526,  320
   Dezembro, 3 528,  207,  254,  345,  935, 1 490,  298
2003,,,,,,,
  Janeiro, 3 596,  208,  251,  354,  970, 1 501,  313
  Fevereiro, 3 534,  205,  247,  366,  937, 1 480,  300
  Março, 3 591,  200,  253,  364,  989, 1 479,  306
  Abril, 3 606,  205,  248,  356, 1 003, 1 486,  308
  Maio, 3 579,  201,  243,  357, 1 004, 1 473,  300
  Junho, 3 581,  210,  251,  362,  956, 1 494,  308
  Julho, 3 579,  222,  249,  356,  969, 1 474,  310
  Agosto, 3 562,  222,  255,  376,  959, 1 438,  312
  Setembro, 3 595,  228,  248,  371,  967, 1 460,  321
  Outubro, 3 600,  204,  242,  374,  963, 1 510,  308
  Novembro, 3 657,  226,  252,  379,  994, 1 488,  317
  Dezembro, 3 616,  212,  239,  364,  978, 1 512,  312
2004,,,,,,,
  Janeiro, 3 507,  204,  227,  348,  988, 1 432,  307
  Fevereiro, 3 518,  206,  233,  344,  981, 1 448,  305
  Março, 3 449,  208,  231,  344,  962, 1 403,  302
  Abril, 3 470,  197,  232,  349,  977, 1 411,  305
  Maio, 3 581,  208,  252,  363,  976, 1 473,  310
  Junho, 3 599,  194,  243,  382,  985, 1 485,  310
  Julho, 3 608,  198,  247,  386,  979, 1 491,  306
  Agosto, 3 674,  205,  266,  390, 1 008, 1 502,  302
  Setembro, 3 725,  230,  259,  398, 1 017, 1 504,  317
  Outubro, 3 717,  224,  255,  395,  967, 1 551,  325
  Novembro, 3 791,  231,  260,  388, 1 008, 1 571,  333
  Dezembro, 3 718,  217,  254,  376,  979, 1 547,  344
2005,,,,,,,
  Janeiro, 3 611,  217,  252,  357,  990, 1 472,  322
  Fevereiro, 3 614,  205,  250,  362, 1 013, 1 457,  327
  Março, 3 554,  208,  249,  371,  970, 1 449,  308
  Abril, 3 614,  192,  254,  389,  978, 1 487,  315
  Maio, 3 663,  204,  254,  401,  982, 1 489,  332
  Junho, 3 642,  199,  258,  389,  968, 1 491,  337
  Julho, 3 658,  203,  250,  396,  973, 1 501,  335
  Agosto, 3 690,  207,  260,  396,  977, 1 514,  335
  Setembro, 3 761,  212,  253,  418,  977, 1 558,  344
  Outubro, 3 722,  209,  255,  409,  988, 1 521,  341
  Novembro, 3 803,  217,  260,  420, 1 005, 1 551,  351
  Dezembro, 3 711,  208,  253,  417,  986, 1 504,  342
2006,,,,,,,
 Janeiro, 3 604,  200,  244,  406,  993, 1 442,  319
  Fevereiro, 3 649,  204,  255,  404,  951, 1 521,  314
  Março, 3 631,  194,  257,  392,  956, 1 522,  310
  Abril, 3 676,  222,  255,  407,  975, 1 494,  323
