Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
  Maio, 3 671,  216,  265,  413,  993, 1 443,  340
  Junho, 3 627,  207,  262,  406,  953, 1 466,  333
  Julho, 3 669,  213,  254,  403,  989, 1 459,  350
  Agosto, 3 659,  210,  256,  410,  978, 1 459,  347
  Setembro, 3 660,  221,  276,  426,  942, 1 437,  358
  Outubro, 3 714,  218,  272,  423,  965, 1 499,  337
  Novembro, 3 733,  216,  279,  415,  951, 1 528,  344
  Dezembro, 3 743,  201,  281,  433,  972, 1 512,  345
2007,,,,,,,
  Janeiro, 3 662,  209,  278,  399,  963, 1 482,  332
  Fevereiro, 3 621,  197,  277,  407,  952, 1 460,  328
  Março, 3 688,  203,  272,  417,  938, 1 528,  330
  Abril, 3 669,  207,  258,  429,  922, 1 520,  334
  Maio, 3 625,  219,  272,  419,  937, 1 444,  335
  Junho, 3 701,  221,  267,  425,  951, 1 503,  335
  Julho, 3 718,  220,  269,  432,  934, 1 520,  343
  Agosto, 3 750,  213,  277,  416,  965, 1 515,  364
  Setembro, 3 848,  212,  281,  431,  967, 1 593,  364
  Outubro, 3 867,  214,  291,  408,  969, 1 626,  359
  Novembro, 3 888,  209,  295,  436,  972, 1 614,  362
  Dezembro, 3 783,  204,  294,  426,  968, 1 537,  355
2008,,,,,,,
  Janeiro, 3 694,  203,  283,  431,  951, 1 488,  338
  Fevereiro, 3 712,  207,  270,  416,  941, 1 556,  321
  Março, 3 818,  216,  267,  415,  972, 1 627,  322
  Abril, 3 749,  212,  275,  432,  948, 1 542,  341
  Maio, 3 845,  211,  263,  437,  950, 1 627,  356
  Junho, 3 826,  210,  273,  434,  958, 1 593,  358
  Julho, 3 823,  215,  260,  426,  953, 1 598,  372
  Agosto, 3 880,  222,  264,  453,  938, 1 623,  379
  Setembro, 3 835,  221,  263,  448,  938, 1 596,  368
  Outubro, 3 898,  230,  264,  468,  953, 1 619,  365
  Novembro, 3 819,  222,  266,  447,  942, 1 580,  362
  Dezembro, 3 792,  231,  268,  418,  942, 1 565,  368
2009,,,,,,,
  Janeiro,  3 719,   222,   258,   420,   916,  1 539,   364
  Fevereiro,  3 674,   236,   268,   414,   902,  1 513,   340
  Março,  3 687,   223,   252,   404,   916,  1 543,   348
  Abril,  3 673,   222,   260,   414,   901,  1 525,   350
  Maio,  3 708,   232,   255,   413,   934,  1 516,   358
  Junho,  3 760,   225,   242,   428,   917,  1 594,   354
  Julho,  3 779,   222,   248,   424,   936,  1 592,   356
  Agosto,  3 800,   222,   258,   423,   940,  1 597,   361
  Setembro,  3 774,   226,   264,   440,   926,  1 557,   361
  Outubro,  3 882,   230,   253,   442,   987,  1 618,   353
  Novembro,  3 934,   222,   255,   446,   991,  1 671,   349
  Dezembro,  3 960,   243,   263,   446,   986,  1 660,   361
2010,,,,,,,
  Janeiro,  3 875,   232,   265,   413,   974,  1 628,   363
  Fevereiro,  3 859,   229,   259,   408,  1 014,  1 584,   364
  Março,  3 786,   228,   262,   438,   953,  1 548,   356
  Abril,  3 807,   229,   268,   432,   923,  1 605,   351
  Maio,  3 740,   221,   269,   444,   916,  1 535,   354
  Junho,  3 797,   229,   271,   456,   906,  1 578,   358
  Julho,  3 955,   242,   254,   451,   951,  1 676,   381
  Agosto,  3 993,   233,   257,   450,   965,  1 708,   380
  Setembro,  4 001,   258,   258,   468,   942,  1 688,   386
  Outubro,  4 036,   254,   265,   465,   945,  1 723,   385
  Novembro,  3 945,   239,   259,   470,   951,  1 654,   372
  Dezembro,  3 930,   237,   255,   455,   931,  1 662,   390
2011,,,,,,,
  Janeiro,  3 824,   214,   259,   429,   938,  1 593,   392
  Fevereiro,  3 914,   230,   254,   447,   958,  1 653,   372
  Março,  3 904,   246,   262,   446,   952,  1 636,   362
  Abril,  3 902,   231,   269,   455,   932,  1 636,   380
  Maio,  3 921,   239,   240,   468,   975,  1 607,   391
  Junho,  3 959,   237,   241,   473,   961,  1 649,   398
  Julho,  3 924,   241,   239,   450,   969,  1 638,   386
  Agosto,  3 891,   234,   228,   450,   981,  1 601,   397
  Setembro,  3 917,   243,   247,   448,   981,  1 609,   389
  Outubro,  3 959,   236,   233,   451,   968,  1 667,   403
  Novembro,  3 961,   237,   233,   482,   962,  1 645,   403
  Dezembro,  3 822,   236,   226,   460,   928,  1 587,   384
2012,,,,,,,
  Janeiro,  3 796,   230,   242,   440,   948,  1 549,   386
  Fevereiro,  3 725,   234,   253,   447,   925,  1 494,   373
  Março,  3 790,   223,   253,   462,   922,  1 546,   383
  Abril,  3 905,   231,   259,   462,   929,  1 635,   390
  Maio,  3 906,   228,   263,   451,   952,  1 618,   394
  Junho,  3 857,   236,   244,   456,   933,  1 622,   366
  Julho,  3 877,   223,   246,   454,   913,  1 680,   360
  Agosto,  3 915,   232,   262,   452,   952,  1 637,   380
  Setembro,  3 980,   231,   271,   449,   952,  1 690,   386
  Outurbro,  4 020,   228,   270,   466,   976,  1 680,   400
  Novembro,  4 108,   243,   274,   466,   992,  1 725,   408
  Dezembro,  4 092,   238,   270,   468,   957,  1 771,   387
2013,,,,,,,
  Janeiro,  3 906,   231,   261,   438,   914,  1 690,   372
  Fevereiro,  3 948,   226,   247,   460,   911,  1 720,   385
  Março,  3 790,   214,   254,   443,   901,  1 614,   366
  Abril,  3 845,   218,   266,   440,   915,  1 649,   358
  Maio,  3 919,   225,   266,   446,   924,  1 671,   388
  Junho,  3 832,   219,   271,   428,   886,  1 648,   381
  Julho,  3 878,   211,   264,   429,   906,  1 697,   372
  Agosto,  3 843,   211,   261,   427,   901,  1 669,   374
  Setembro,  3 918,   212,   275,   454,   895,  1 705,   379
  Outubro,  3 889,   229,   273,   452,   894,  1 668,   373
  Novembro,  3 945,   248,   283,   462,   886,  1 680,   386
  Dezembro,  3 867,   224,   270,   451,   900,  1 651,   371
2014,,,,,,,
  Janeiro,  3 814,   245,   271,   434,   877,  1 627,   360
  Fevereiro,  3 769,   219,   254,   432,   867,  1 635,   362
  Março,  3 795,   206,   244,   450,   859,  1 669,   367
  Abril,  3 761,   203,   255,   439,   850,  1 673,   341
  Maio,  3 695,   216,   273,   433,   836,  1 595,   342
  Junho,  3 789,   224,   279,   450,   856,  1 627,   353
  Julho,  3 770,   220,   274,   450,   830,  1 642,   355
  Agosto,  3 779,   219,   274,   436,   835,  1 646,   369
  Setembro,  3 763,   209,   279,   434,   848,  1 633,   359
  Outubro,  3 770,   231,   282,   427,   841,  1 619,   370
  Novembro,  3 752,   226,   273,   428,   847,  1 598,   380
  Dezembro,  3 746,   230,   273,   426,   827,  1 629,   361
2015,,,,,,,
  Janeiro,  3 737,   228,   258,   428,   879,  1 566,   378
  Fevereiro,  3 751,   228,   253,   442,   846,  1 623,   359
  Março,  3 694,   217,   241,   425,   834,  1 599,   378
  Abril,  3 651,   209,   244,   426,   818,  1 590,   365
  Maio,  3 710,   205,   246,   447,   840,  1 602,   370
  Junho,  3 646,   202,   255,   420,   825,  1 593,   352
  Julho,  3 635,   216,   249,   438,   828,  1 559,   345
  Agosto,  3 626,   212,   254,   428,   803,  1 570,   358
  Setembro,  3 653,   200,   254,   407,   842,  1 589,   361
  Outubro,  3 657,   195,   250,   416,   843,  1 596,   358
  Novembro,  3 623,   207,   254,   410,   869,  1 526,   357
  Dezembro,  3 595,   188,   263,   411,   895,  1 493,   344
2016,,,,,,,
  Janeiro,  3 538,   221,   248,   394,   878,  1 466,   331
  Fevereiro,  3 501,   205,   241,   380,   834,  1 493,   348
,,,,,,,
Coeficientes de variação (%),,,,,,,
2002,,,,,,,
   Março,"1,5","3,8","4,7","3,1","3,3","2,6","3,8"
   Abril,"1,5","3,8","4,3","3,2","3,2","2,6","3,5"
   Maio,"1,5","3,9","4,2","3,4","3,4","2,6","3,3"
   Junho,"1,6","4,0","4,1","3,1","3,2","2,8","3,5"
   Julho,"1,5","3,9","3,9","3,1","3,1","2,7","3,2"
   Agosto,"1,5","3,9","4,0","3,0","3,1","2,8","3,4"
   Setembro,"1,5","4,0","3,8","3,0","3,2","2,7","3,2"
   Outubro,"1,5","3,8","3,9","3,1","3,1","2,6","3,0"
   Novembro,"1,5","4,2","4,0","3,1","3,2","2,5","3,2"
   Dezembro,"1,5","4,0","3,6","2,9","3,1","2,8","3,7"
2003,,,,,,,
  Janeiro,"1,5","3,8","3,8","3,1","3,3","2,6","3,4"
  Fevereiro,"1,5","4,0","3,7","2,8","3,1","2,6","3,4"
  Março,"1,4","4,2","3,5","2,9","3,1","2,5","3,2"
  Abril,"1,4","3,9","3,7","2,9","3,1","2,5","3,0"
  Maio,"1,6","4,1","3,9","3,0","3,4","2,8","3,3"
  Junho,"1,5","3,9","3,9","2,8","3,2","2,8","3,3"
  Julho,"1,5","3,8","4,6","3,2","3,2","2,7","3,5"
  Agosto,"1,6","3,9","4,0","2,8","3,2","2,9","3,4"
  Setembro,"1,5","3,8","4,2","3,0","3,3","2,7","3,2"
  Outubro,"1,5","4,0","4,2","3,1","3,2","2,8","3,2"
  Novembro,"1,5","3,9","3,7","2,9","3,2","2,7","3,1"
  Dezembro,"1,5","3,7","3,8","2,9","3,2","2,8","3,1"
2004,,,,,,,
  Janeiro,"1,6","3,8","4,1","3,1","3,3","2,9","3,4"
  Fevereiro,"1,6","3,8","4,2","3,1","3,3","2,8","3,3"
  Março,"1,6","3,7","3,9","3,1","3,3","2,9","3,3"
  Abril,"1,5","3,7","3,9","3,2","3,2","2,7","3,1"
  Maio,"1,6","3,7","4,1","3,3","3,4","2,8","3,1"
  Junho,"1,6","3,7","3,9","3,1","3,4","2,9","3,1"
  Julho,"1,5","3,9","4,1","3,0","3,2","2,8","3,2"
  Agosto,"1,6","3,9","3,8","3,0","3,0","3,0","3,1"
  Setembro,"1,5","3,9","3,9","2,8","3,0","2,9","3,2"
  Outubro,"1,5","3,7","3,8","2,8","3,0","2,8","3,1"
  Novembro,"1,5","3,9","3,6","3,0","3,0","2,8","3,0"
  Dezembro,"1,5","3,6","4,0","2,9","3,2","2,6","3,0"
2005,,,,,,,
  Janeiro,"1,5","3,7","3,9","3,1","3,1","2,6","3,4"
  Fevereiro,"1,5","3,7","4,0","3,0","3,0","2,8","3,2"
  Março,"1,5","3,6","4,2","3,0","3,2","2,8","3,2"
  Abril,"1,5","3,9","3,9","2,9","3,1","2,8","3,2"
  Maio,"1,5","3,9","3,9","2,9","3,2","2,7","3,0"
  Junho,"1,5","4,0","3,8","2,9","3,3","2,6","3,1"
  Julho,"1,6","3,8","4,2","2,7","3,4","2,8","3,4"
  Agosto,"1,5","4,2","4,1","2,6","3,3","2,7","3,1"
  Setembro,"1,5","3,7","4,1","2,8","3,3","2,8","3,2"
  Outubro,"1,5","4,0","4,1","2,8","3,2","2,7","3,0"
  Novembro,"1,5","3,8","3,9","2,9","3,2","2,8","3,0"
  Dezembro,"1,5","4,0","3,9","3,0","3,2","2,7","3,2"
2006,,,,,,,
 Janeiro,"1,5","3,8","4,0","2,8","3,0","2,8","3,1"
  Fevereiro,"1,5","3,7","4,0","3,1","3,0","2,7","3,3"
  Março,"1,5","4,0","4,1","2,9","3,1","2,8","3,3"
  Abril,"1,5","4,0","4,2","2,8","3,1","2,8","3,3"
  Maio,"1,5","3,7","4,0","2,8","3,2","2,8","3,0"
  Junho,"1,6","3,8","4,1","2,8","3,3","2,9","3,0"
  Julho,"1,5","4,1","4,1","2,7","3,1","2,9","3,0"
  Agosto,"1,6","4,0","4,0","2,7","3,1","3,0","3,1"
  Setembro,"1,5","3,8","4,0","2,8","3,3","2,9","3,0"
  Outubro,"1,6","3,7","3,9","2,9","3,2","2,9","3,0"
  Novembro,"1,5","3,8","3,9","2,8","3,2","2,9","2,9"
  Dezembro,"1,6","3,9","4,0","2,7","3,2","2,9","3,0"
2007,,,,,,,
  Janeiro,"1,5","4,0","4,0","2,8","3,2","2,9","3,1"
  Fevereiro,"1,5","4,0","3,9","2,7","3,2","2,8","3,0"
  Março,"1,5","4,3","4,0","2,9","3,3","2,7","3,0"
  Abril,"1,6","3,9","4,1","2,8","3,5","3,0","3,2"
  Maio,"1,6","3,7","3,8","2,8","3,2","3,0","3,2"
  Junho,"1,6","3,7","4,1","3,0","3,3","2,9","3,1"
  Julho,"1,5","3,6","4,0","2,7","3,3","2,9","3,3"
  Agosto,"1,4","4,0","4,0","2,6","3,1","2,6","3,1"
  Setembro,"1,5","4,0","4,2","2,7","3,2","2,7","2,9"
  Outubro,"1,4","4,0","4,1","2,7","3,0","2,6","3,1"
  Novembro,"1,4","4,0","4,3","2,7","3,0","2,6","3,1"
  Dezembro,"1,4","4,2","4,1","2,6","3,1","2,6","3,0"
2008,,,,,,,
  Janeiro,"1,5","4,1","4,1","2,8","3,1","2,8","3,1"
  Fevereiro,"1,6","3,9","4,3","2,8","3,2","2,9","3,1"
  Março,"1,5","3,6","4,1","2,8","3,1","2,8","3,3"
  Abril,"1,5","3,9","3,9","2,7","3,1","2,9","3,2"
  Maio,"1,6","3,7","4,0","2,9","3,0","3,0","3,2"
  Junho,"1,6","4,4","3,8","3,0","3,3","2,8","3,1"
  Julho,"1,5","3,7","3,8","3,0","3,4","2,8","2,9"
  Agosto,"1,5","4,0","3,8","2,9","3,3","2,8","2,9"
  Setembro,"1,5","4,0","3,9","2,9","3,2","2,8","2,8"
  Outubro,"1,5","4,2","4,1","2,8","3,1","2,8","3,1"
  Novembro,"1,5","3,8","4,0","2,7","3,0","2,9","3,0"
  Dezembro,"1,5","4,0","4,0","3,0","3,0","2,8","3,0"
2009,,,,,,,
  Janeiro,"1,5","3,8","4,0","2,8","3,1","2,7","3,1"
  Fevereiro,"1,5","3,9","4,0","2,7","3,2","2,7","3,2"
  Março,"1,5","4,1","4,0","2,6","3,0","2,7","3,0"
  Abril,"1,5","4,0","3,9","2,9","3,1","2,8","3,0"
  Maio,"1,6","3,8","3,9","3,0","3,1","3,0","3,2"
  Junho,"1,6","3,6","4,6","2,9","3,2","2,9","3,1"
  Julho,"1,6","3,8","4,5","2,9","3,3","3,1","3,3"
  Agosto,"1,6","3,7","4,3","3,0","3,2","3,1","3,3"
  Setembro,"1,6","3,8","4,2","3,0","3,2","3,1","3,2"
  Outubro,"1,6","4,0","4,2","2,8","3,1","3,0","3,1"
  Novembro,"1,5","3,7","4,1","2,6","3,1","2,9","3,1"
  Dezembro,"1,6","3,3","4,3","2,7","3,1","2,9","2,9"
2010,,,,,,,
  Janeiro,"1,6","3,6","4,0","2,9","3,2","3,1","3,1"
  Fevereiro,"1,5","3,7","4,0","3,0","2,9","2,9","3,0"
  Março,"1,6","4,1","4,1","2,8","3,3","2,9","3,2"
  Abril,"1,5","3,4","4,0","3,0","3,1","2,9","3,1"
  Maio,"1,5","3,7","4,0","2,7","3,1","2,9","3,1"
  Junho,"1,6","4,0","4,0","2,8","3,3","3,0","3,1"
  Julho,"1,6","3,8","4,2","2,7","3,3","3,0","3,3"
  Agosto,"1,6","4,1","3,8","2,8","3,2","3,0","3,1"
  Setembro,"1,6","3,9","4,3","2,8","3,2","3,0","3,1"
  Outubro,"1,6","3,4","4,4","2,8","3,2","3,1","2,9"
  Novembro,"1,6","3,8","4,2","2,9","3,3","3,1","2,9"
  Dezembro,"1,6","4,0","4,4","3,0","3,3","3,0","2,8"
2011,,,,,,,
  Janeiro,"1,5","4,1","4,4","3,1","3,0","2,9","3,2"
  Fevereiro,"1,5","4,0","4,3","2,9","3,1","2,8","3,4"
  Março,"1,6","4,0","4,4","2,9","3,1","3,0","3,6"
  Abril,"1,5","4,0","4,7","2,9","3,0","2,9","3,5"
  Maio,"1,6","4,0","4,9","2,6","3,1","3,1","3,6"
  Junho,"1,6","4,1","4,9","2,9","3,1","2,9","3,0"
  Julho,"1,6","3,7","4,4","2,9","3,1","3,1","3,2"
  Agosto,"1,6","4,4","4,6","2,9","3,2","3,0","3,2"
  Setembro,"1,6","4,0","4,8","3,1","3,2","3,1","3,1"
  Outubro,"1,6","4,2","4,8","3,0","3,2","3,0","3,2"
  Novembro,"1,6","4,0","4,6","2,9","3,3","3,1","3,2"
  Dezembro,"1,6","4,2","4,9","3,0","3,1","3,0","3,3"
2012,,,,,,,
  Janeiro,"1,7","4,0","4,7","3,0","3,3","3,2","3,2"
  Fevereiro,"1,6","4,1","5,1","3,0","3,3","3,2","3,4"
  Março,"1,6","3,9","4,9","2,9","3,2","3,2","3,1"
  Abril,"1,7","3,9","5,0","2,7","3,4","3,2","3,1"
  Maio,"1,6","4,0","5,0","2,8","3,2","3,2","3,2"
  Junho,"1,6","4,0","4,9","2,9","3,0","3,1","3,5"
  Julho,"1,6","4,1","5,3","3,0","3,2","3,0","3,6"
  Agosto,"1,6","4,2","4,4","3,0","3,1","3,1","3,2"
  Setembro,"1,6","3,9","4,6","3,0","3,3","2,9","3,1"
  Outubro,"1,6","4,3","4,4","2,9","3,3","3,0","3,3"
  Novembro,"1,8","4,5","4,4","2,8","3,4","3,4","3,3"
  Dezembro,"1,8","4,8","4,2","2,7","3,3","3,4","3,4"
2013,,,,,,,
  Janeiro,"1,8","4,9","4,3","2,7","3,4","3,4","3,3"
  Fevereiro,"1,8","4,0","4,7","2,8","3,3","3,4","3,2"
  Março,"1,8","4,4","4,8","2,8","3,2","3,5","3,2"
  Abril,"1,7","4,1","4,6","3,0","3,3","3,2","3,2"
  Maio,"1,7","4,3","4,5","2,8","3,4","3,3","3,4"
  Junho,"1,6","4,2","4,2","3,1","3,4","3,0","3,4"
  Julho,"1,7","4,4","4,7","3,0","3,4","3,2","3,4"
  Agosto,"1,7","4,3","4,6","3,1","3,4","3,1","3,5"
  Setembro,"1,7","4,6","4,7","2,9","3,5","3,1","3,4"
  Outubro,"1,7","4,5","4,4","2,9","3,6","3,2","3,6"
  Novembro,"1,6","4,3","4,2","2,8","3,4","3,0","3,6"
  Dezembro,"1,7","4,7","4,6","2,8","3,3","3,2","3,6"
2014,,,,,,,
  Janeiro,"1,7","4,6","4,2","2,9","3,3","3,3","3,6"
  Fevereiro,"1,7","4,6","4,7","2,9","3,5","3,2","3,6"
  Março,"1,8","4,5","4,5","2,9","3,6","3,4","3,4"
  Abril,"1,8","4,6","4,8","3,1","3,4","3,4","3,6"
  Maio,"1,9","4,4","5,1","3,0","3,7","3,7","3,7"
  Junho,"1,8","4,5","4,4","3,1","3,4","3,6","3,5"
  Julho,"1,7","4,3","4,7","2,9","3,5","3,3","3,5"
  Agosto,"1,7","4,1","4,3","3,1","3,4","3,2","3,3"
  Setembro,"1,8","4,3","4,3","3,1","3,5","3,4","3,4"
  Outubro,"1,8","3,8","4,4","3,3","3,6","3,5","3,4"
  Novembro,"1,8","4,3","4,1","3,1","3,7","3,5","3,5"
  Dezembro,"1,9","4,5","4,5","3,2","3,7","3,6","3,7"
2015,,,,,,,
  Janeiro,"1,9","4,5","4,5","3,1","3,8","3,5","3,6"
  Fevereiro,"1,8","4,4","4,6","3,2","3,7","3,4","3,7"
  Março,"1,8","4,7","4,8","3,1","3,6","3,5","3,4"
  Abril,"1,9","4,8","5,1","3,1","3,7","3,6","3,4"
  Maio,"1,9","4,4","4,8","3,1","3,6","3,6","3,4"
  Junho,"1,9","4,8","4,8","3,2","3,5","3,6","3,4"
  Julho,"1,8","4,4","4,7","3,0","3,7","3,5","3,5"
  Agosto,"1,8","4,4","4,6","3,1","3,6","3,5","3,5"
  Setembro,"1,9","4,4","4,7","3,2","3,6","3,6","3,5"
  Outubro,"1,9","4,9","4,8","3,5","3,7","3,7","3,7"
  Novembro,"1,9","4,8","4,9","3,0","3,7","3,6","3,5"
  Dezembro,"1,9","5,3","4,9","3,0","3,7","3,8","3,5"
2016,,,,,,,
  Janeiro,"1,9","4,3","5,1","3,2","3,6","3,6","3,6"
  Fevereiro,"1,9","5,0","5,1","3,2","3,9","3,5","3,5"
,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Mensal de Emprego mar.2002-fev.2016.",,,,,,,
