Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Fevereiro,   783,   69,   70,   95,   190,   294,   65
  Março,   807,   75,   65,   102,   185,   312,   68
  Abril,   811,   65,   65,   97,   180,   338,   65
  Maio,   832,   70,   71,   95,   180,   353,   63
  Junho,   793,   66,   65,   86,   186,   326,   63
  Julho,   787,   62,   66,   87,   182,   330,   61
  Agosto,   790,   58,   62,   84,   183,   343,   61
  Setembro,   752,   58,   60,   87,   178,   313,   55
  Outubro,   749,   58,   54,   94,   173,   307,   63
  Novembro,   826,   57,   59,   85,   217,   343,   64
  Dezembro,   781,   60,   48,   81,   223,   304,   64
2012,,,,,,,
  Janeiro,   725,   58,   45,   83,   192,   281,   65
  Fevereiro,   760,   64,   41,   81,   197,   312,   65
  Março,   720,   57,   48,   86,   182,   278,   70
  Abril,   757,   64,   57,   88,   182,   302,   64
  Maio,   808,   65,   61,   90,   194,   335,   62
  Junho,   735,   67,   56,   81,   183,   293,   55
  Julho,   727,   70,   55,   74,   182,   291,   55
  Agosto,   729,   69,   54,   78,   182,   287,   59
  Setembro,   727,   71,   46,   80,   175,   299,   57
  Outurbro,   763,   63,   58,   83,   166,   327,   65
  Novembro,   758,   63,   55,   86,   171,   324,   58
  Dezembro,   708,   56,   48,   80,   175,   282,   66
2013,,,,,,,
  Janeiro,   686,   65,   52,   76,   159,   278,   55
  Fevereiro,   689,   56,   57,   63,   166,   290,   58
  Março,   680,   58,   60,   60,   178,   270,   54
  Abril,   666,   49,   58,   67,   169,   263,   60
  Maio,   645,   53,   59,   71,   160,   245,   57
  Junho,   673,   65,   62,   71,   160,   255,   60
  Julho,   688,   62,   64,   75,   151,   277,   60
  Agosto,   711,   63,   56,   80,   157,   299,   56
  Setembro,   684,   55,   57,   69,   152,   290,   61
  Outubro,   625,   52,   54,   67,   138,   257,   57
  Novembro,   646,   53,   61,   71,   137,   269,   55
  Dezembro,   663,   57,   53,   69,   135,   297,   52
2014,,,,,,,
  Janeiro,   659,   53,   58,   65,   141,   298,   43
  Fevereiro,   619,   54,   47,   63,   136,   269,   50
  Março,   582,   51,   50,   62,   128,   243,   49
