Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
  Setembro,  12 768,   771,   953,  1 242,  3 030,  5 790,   982
  Outubro,  12 648,   787,   957,  1 263,  2 970,  5 684,   988
  Novembro,  12 691,   786,   951,  1 271,  3 007,  5 692,   985
  Dezembro,  12 814,   799,   960,  1 303,  3 039,  5 746,   966
2010,,,,,,,
  Janeiro,  12 854,   808,   964,  1 301,  3 114,  5 696,   971
  Fevereiro,  12 967,   824,   966,  1 291,  3 134,  5 775,   978
  Março,  13 059,   856,   968,  1 306,  3 146,  5 807,   977
  Abril,  13 212,   884,   987,  1 297,  3 161,  5 895,   987
  Maio,  13 355,   889,   970,  1 322,  3 174,  5 999,  1 001
  Junho,  13 308,   886,   965,  1 305,  3 181,  5 980,   990
  Julho,  13 366,   841,   973,  1 337,  3 189,  6 029,   997
  Agosto,  13 427,   850,   971,  1 351,  3 226,  6 019,  1 011
  Setembro,  13 625,   892,   980,  1 350,  3 247,  6 139,  1 017
  Outubro,  13 668,   892,  1 005,  1 347,  3 201,  6 182,  1 041
  Novembro,  13 791,   913,  1 013,  1 327,  3 277,  6 200,  1 061
  Dezembro,  13 866,   906,  1 044,  1 364,  3 323,  6 175,  1 053
2011,,,,,,,
  Janeiro,  13 732,   881,  1 013,  1 340,  3 319,  6 124,  1 054
  Fevereiro,  13 781,   864,  1 021,  1 349,  3 360,  6 142,  1 044
  Março,  13 876,   857,   986,  1 379,  3 350,  6 251,  1 052
  Abril,  13 716,   877,   979,  1 342,  3 266,  6 192,  1 059
  Maio,  13 788,   893,   985,  1 375,  3 264,  6 225,  1 046
  Junho,  13 788,   909,  1 004,  1 402,  3 215,  6 212,  1 047
  Julho,  13 926,   909,  1 026,  1 409,  3 258,  6 263,  1 061
  Agosto,  14 119,   925,  1 082,  1 420,  3 350,  6 287,  1 055
  Setembro,  14 175,   902,  1 087,  1 421,  3 362,  6 343,  1 060
  Outubro,  14 265,   906,  1 095,  1 422,  3 435,  6 358,  1 049
  Novembro,  14 299,   896,  1 095,  1 403,  3 436,  6 377,  1 092
  Dezembro,  14 403,   921,  1 102,  1 418,  3 391,  6 470,  1 101
2012,,,,,,,
  Janeiro,  14 370,   930,  1 079,  1 438,  3 384,  6 458,  1 080
  Fevereiro,  14 472,   936,  1 088,  1 429,  3 413,  6 532,  1 074
