Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas - Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Federal,  38.051 ,  346.584 ,  34.912 ,  28.396 ,  270.001 ,  26.049 ,  - ,  - ,  - ,  200 ,  907 ,  113 ,  9.455 ,  75.676 ,  8.750 ,  300 ,  2.023 ,  185 ,  300 ,  2.023 ,  185 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  8.728 ,  19.689 ,  4.011 ,  6.176 ,  17.298 ,  3.439 ,  - ,  - ,  - ,  - ,  - ,  - ,  2.552 ,  2.391 ,  572 
Estadual,  14.242 ,  87.827 ,  13.309 ,  14.037 ,  77.157 ,  13.127 ,  - ,  - ,  - ,  205 ,  10.670 ,  182 ,  - ,  - ,  - ,  126 ,  349 ,  117 ,  111 ,  243 ,  78 ,  - ,  - ,  - ,  15 ,  106 ,  39 ,  - ,  - ,  - ,  9.176 ,  4.550 ,  1.166 ,  9.176 ,  4.550 ,  1.166 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  4.969 ,  5.298 ,  2.673 ,  2.273 ,  1.394 ,  1.333 ,  2.176 ,  3.427 ,  1.337 ,  520 ,  477 ,  3 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  4.270 ,  639 ,  475 ,  241 ,  241 ,  235 ,  3.978 ,  386 ,  240 ,  51 ,  12 ,  - ,  - ,  - ,  - 
Privada,  326.660 ,  573.446 ,  126.273 ,  66.368 ,  175.597 ,  29.471 ,  94.116 ,  169.144 ,  36.044 ,  166.176 ,  228.705 ,  60.758 ,  - ,  - ,  - ,  824 ,  783 ,  88 ,  - ,  - ,  - ,  - ,  - ,  - ,  824 ,  783 ,  88 ,  - ,  - ,  - ,  145.773 ,  56.361 ,  18.785 ,  5.252 ,  6.902 ,  4.022 ,  43.613 ,  21.183 ,  7.880 ,  96.908 ,  28.276 ,  6.883 ,  - ,  - ,  - 
Mato Grosso do Sul,  48.386 ,  152.053 ,  26.133 ,  20.504 ,  103.486 ,  15.334 ,  8.789 ,  16.083 ,  5.289 ,  17.991 ,  26.238 ,  4.614 ,  1.102 ,  6.246 ,  896 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  39.236 ,  9.231 ,  2.722 ,  3.001 ,  2.809 ,  1.031 ,  1.470 ,  1.375 ,  993 ,  34.262 ,  4.731 ,  596 ,  503 ,  316 ,  102 
Pública,  10.721 ,  74.187 ,  9.655 ,  9.619 ,  67.941 ,  8.759 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.102 ,  6.246 ,  896 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  3.382 ,  2.903 ,  973 ,  2.879 ,  2.587 ,  871 ,  - ,  - ,  - ,  - ,  - ,  - ,  503 ,  316 ,  102 
Federal,  8.393 ,  60.397 ,  7.640 ,  7.291 ,  54.151 ,  6.744 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.102 ,  6.246 ,  896 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.486 ,  2.537 ,  876 ,  1.983 ,  2.221 ,  774 ,  - ,  - ,  - ,  - ,  - ,  - ,  503 ,  316 ,  102 
Estadual,  2.328 ,  13.790 ,  2.015 ,  2.328 ,  13.790 ,  2.015 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  896 ,  366 ,  97 ,  896 ,  366 ,  97 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  37.665 ,  77.866 ,  16.478 ,  10.885 ,  35.545 ,  6.575 ,  8.789 ,  16.083 ,  5.289 ,  17.991 ,  26.238 ,  4.614 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  35.854 ,  6.328 ,  1.749 ,  122 ,  222 ,  160 ,  1.470 ,  1.375 ,  993 ,  34.262 ,  4.731 ,  596 ,  - ,  - ,  - 
