Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas - Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Brasil,  3.960.531 ,  11.761.062 ,  1.751.122 ,  1.474.027 ,  7.006.778 ,  772.575 ,  987.728 ,  1.594.789 ,  381.898 ,  1.425.394 ,  2.269.709 ,  528.164 ,  73.382 ,  889.786 ,  68.485 ,  13.308 ,  14.778 ,  2.792 ,  6.226 ,  8.510 ,  2.217 ,  974 ,  774 ,  - ,  5.945 ,  5.145 ,  465 ,  163 ,  349 ,  110 ,  2.055.863 ,  754.967 ,  280.212 ,  693.241 ,  332.883 ,  139.859 ,  572.347 ,  185.416 ,  77.437 ,  766.408 ,  220.590 ,  57.443 ,  23.867 ,  16.078 ,  5.473 
Pública,  548.625 ,  5.914.273 ,  471.114 ,  407.584 ,  4.798.270 ,  355.979 ,  11.609 ,  20.137 ,  5.409 ,  56.050 ,  206.080 ,  41.241 ,  73.382 ,  889.786 ,  68.485 ,  5.151 ,  9.224 ,  2.458 ,  4.400 ,  8.386 ,  2.142 ,  - ,  - ,  - ,  588 ,  489 ,  206 ,  163 ,  349 ,  110 ,  180.449 ,  160.186 ,  50.763 ,  142.539 ,  136.828 ,  41.685 ,  4.618 ,  880 ,  497 ,  9.425 ,  6.400 ,  3.108 ,  23.867 ,  16.078 ,  5.473 
Federal,  338.385 ,  4.305.855 ,  309.014 ,  263.959 ,  3.397.138 ,  239.581 ,  450 ,  450 ,  449 ,  594 ,  18.481 ,  499 ,  73.382 ,  889.786 ,  68.485 ,  2.435 ,  6.298 ,  1.631 ,  2.199 ,  5.876 ,  1.454 ,  - ,  - ,  - ,  73 ,  73 ,  67 ,  163 ,  349 ,  110 ,  118.041 ,  124.211 ,  33.679 ,  94.014 ,  107.973 ,  28.145 ,  - ,  - ,  - ,  160 ,  160 ,  61 ,  23.867 ,  16.078 ,  5.473 
Estadual,  161.996 ,  1.540.904 ,  141.848 ,  129.552 ,  1.379.314 ,  109.739 ,  417 ,  3.312 ,  398 ,  32.027 ,  158.278 ,  31.711 ,  - ,  - ,  - ,  1.703 ,  1.849 ,  587 ,  1.638 ,  1.693 ,  548 ,  - ,  - ,  - ,  65 ,  156 ,  39 ,  - ,  - ,  - ,  44.957 ,  30.476 ,  14.484 ,  40.144 ,  26.275 ,  11.982 ,  107 ,  125 ,  107 ,  4.706 ,  4.076 ,  2.395 ,  - ,  - ,  - 
Municipal,  48.244 ,  67.514 ,  20.252 ,  14.073 ,  21.818 ,  6.659 ,  10.742 ,  16.375 ,  4.562 ,  23.429 ,  29.321 ,  9.031 ,  - ,  - ,  - ,  1.013 ,  1.077 ,  240 ,  563 ,  817 ,  140 ,  - ,  - ,  - ,  450 ,  260 ,  100 ,  - ,  - ,  - ,  17.451 ,  5.499 ,  2.600 ,  8.381 ,  2.580 ,  1.558 ,  4.511 ,  755 ,  390 ,  4.559 ,  2.164 ,  652 ,  - ,  - ,  - 
Privada,  3.411.906 ,  5.846.789 ,  1.280.008 ,  1.066.443 ,  2.208.508 ,  416.596 ,  976.119 ,  1.574.652 ,  376.489 ,  1.369.344 ,  2.063.629 ,  486.923 ,  - ,  - ,  - ,  8.157 ,  5.554 ,  334 ,  1.826 ,  124 ,  75 ,  974 ,  774 ,  - ,  5.357 ,  4.656 ,  259 ,  - ,  - ,  - ,  1.875.414 ,  594.781 ,  229.449 ,  550.702 ,  196.055 ,  98.174 ,  567.729 ,  184.536 ,  76.940 ,  756.983 ,  214.190 ,  54.335 ,  - ,  - ,  - 
Norte,  294.204 ,  1.015.894 ,  121.942 ,  96.577 ,  571.766 ,  47.027 ,  67.308 ,  83.449 ,  28.251 ,  123.549 ,  163.365 ,  40.465 ,  6.770 ,  197.314 ,  6.199 ,  2.666 ,  3.065 ,  1.137 ,  2.121 ,  2.678 ,  1.024 ,  - ,  - ,  - ,  545 ,  387 ,  113 ,  - ,  - ,  - ,  158.618 ,  52.421 ,  13.793 ,  18.446 ,  22.400 ,  3.417 ,  35.404 ,  5.676 ,  3.478 ,  103.338 ,  23.559 ,  6.585 ,  1.430 ,  786 ,  313 
Pública,  50.793 ,  714.401 ,  42.391 ,  43.523 ,  516.961 ,  36.100 ,  - ,  - ,  - ,  500 ,  126 ,  92 ,  6.770 ,  197.314 ,  6.199 ,  2.121 ,  2.678 ,  1.024 ,  2.121 ,  2.678 ,  1.024 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  12.487 ,  18.546 ,  2.828 ,  11.057 ,  17.760 ,  2.515 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.430 ,  786 ,  313 
Federal,  38.255 ,  589.482 ,  33.974 ,  31.485 ,  392.168 ,  27.775 ,  - ,  - ,  - ,  - ,  - ,  - ,  6.770 ,  197.314 ,  6.199 ,  775 ,  1.332 ,  586 ,  775 ,  1.332 ,  586 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  9.794 ,  17.143 ,  2.608 ,  8.364 ,  16.357 ,  2.295 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.430 ,  786 ,  313 
Estadual,  10.528 ,  118.715 ,  7.352 ,  10.528 ,  118.715 ,  7.352 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.346 ,  1.346 ,  438 ,  1.346 ,  1.346 ,  438 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  957 ,  887 ,  118 ,  957 ,  887 ,  118 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  2.010 ,  6.204 ,  1.065 ,  1.510 ,  6.078 ,  973 ,  - ,  - ,  - ,  500 ,  126 ,  92 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.736 ,  516 ,  102 ,  1.736 ,  516 ,  102 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  243.411 ,  301.493 ,  79.551 ,  53.054 ,  54.805 ,  10.927 ,  67.308 ,  83.449 ,  28.251 ,  123.049 ,  163.239 ,  40.373 ,  - ,  - ,  - ,  545 ,  387 ,  113 ,  - ,  - ,  - ,  - ,  - ,  - ,  545 ,  387 ,  113 ,  - ,  - ,  - ,  146.131 ,  33.875 ,  10.965 ,  7.389 ,  4.640 ,  902 ,  35.404 ,  5.676 ,  3.478 ,  103.338 ,  23.559 ,  6.585 ,  - ,  - ,  - 
Rondônia,  34.015 ,  69.317 ,  14.465 ,  2.800 ,  17.590 ,  2.314 ,  7.810 ,  14.878 ,  3.505 ,  22.296 ,  25.818 ,  7.557 ,  1.109 ,  11.031 ,  1.089 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  9.217 ,  4.087 ,  1.360 ,  2.287 ,  1.423 ,  337 ,  578 ,  578 ,  517 ,  6.323 ,  1.964 ,  485 ,  29 ,  122 ,  21 
Pública,  3.909 ,  28.621 ,  3.403 ,  2.800 ,  17.590 ,  2.314 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.109 ,  11.031 ,  1.089 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.316 ,  1.545 ,  358 ,  2.287 ,  1.423 ,  337 ,  - ,  - ,  - ,  - ,  - ,  - ,  29 ,  122 ,  21 
Federal,  3.909 ,  28.621 ,  3.403 ,  2.800 ,  17.590 ,  2.314 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.109 ,  11.031 ,  1.089 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.316 ,  1.545 ,  358 ,  2.287 ,  1.423 ,  337 ,  - ,  - ,  - ,  - ,  - ,  - ,  29 ,  122 ,  21 
Estadual,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  30.106 ,  40.696 ,  11.062 ,  - ,  - ,  - ,  7.810 ,  14.878 ,  3.505 ,  22.296 ,  25.818 ,  7.557 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  6.901 ,  2.542 ,  1.002 ,  - ,  - ,  - ,  578 ,  578 ,  517 ,  6.323 ,  1.964 ,  485 ,  - ,  - ,  - 
Acre,  8.778 ,  62.999 ,  6.145 ,  2.245 ,  27.864 ,  2.155 ,  4.558 ,  12.194 ,  2.467 ,  1.255 ,  1.122 ,  851 ,  720 ,  21.819 ,  672 ,  9 ,  6 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  9 ,  6 ,  - ,  - ,  - ,  - ,  1.225 ,  4.574 ,  629 ,  619 ,  3.999 ,  328 ,  514 ,  491 ,  277 ,  83 ,  75 ,  21 ,  9 ,  9 ,  3 
Pública,  2.965 ,  49.683 ,  2.827 ,  2.245 ,  27.864 ,  2.155 ,  - ,  - ,  - ,  - ,  - ,  - ,  720 ,  21.819 ,  672 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  628 ,  4.008 ,  331 ,  619 ,  3.999 ,  328 ,  - ,  - ,  - ,  - ,  - ,  - ,  9 ,  9 ,  3 
Federal,  2.965 ,  49.683 ,  2.827 ,  2.245 ,  27.864 ,  2.155 ,  - ,  - ,  - ,  - ,  - ,  - ,  720 ,  21.819 ,  672 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  628 ,  4.008 ,  331 ,  619 ,  3.999 ,  328 ,  - ,  - ,  - ,  - ,  - ,  - ,  9 ,  9 ,  3 
Estadual,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  5.813 ,  13.316 ,  3.318 ,  - ,  - ,  - ,  4.558 ,  12.194 ,  2.467 ,  1.255 ,  1.122 ,  851 ,  - ,  - ,  - ,  9 ,  6 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  9 ,  6 ,  - ,  - ,  - ,  - ,  597 ,  566 ,  298 ,  - ,  - ,  - ,  514 ,  491 ,  277 ,  83 ,  75 ,  21 ,  - ,  - ,  - 
Amazonas,  95.608 ,  238.390 ,  35.625 ,  34.484 ,  152.690 ,  13.990 ,  36.791 ,  29.171 ,  14.916 ,  23.548 ,  33.153 ,  6.202 ,  785 ,  23.376 ,  517 ,  554 ,  554 ,  434 ,  434 ,  434 ,  434 ,  - ,  - ,  - ,  120 ,  120 ,  - ,  - ,  - ,  - ,  33.499 ,  15.476 ,  3.769 ,  3.877 ,  8.302 ,  942 ,  12.788 ,  1.519 ,  1.335 ,  16.814 ,  5.631 ,  1.479 ,  20 ,  24 ,  13 
Pública,  9.817 ,  128.339 ,  8.526 ,  9.032 ,  104.963 ,  8.009 ,  - ,  - ,  - ,  - ,  - ,  - ,  785 ,  23.376 ,  517 ,  434 ,  434 ,  434 ,  434 ,  434 ,  434 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  735 ,  5.002 ,  345 ,  715 ,  4.978 ,  332 ,  - ,  - ,  - ,  - ,  - ,  - ,  20 ,  24 ,  13 
Federal,  6.253 ,  85.284 ,  5.469 ,  5.468 ,  61.908 ,  4.952 ,  - ,  - ,  - ,  - ,  - ,  - ,  785 ,  23.376 ,  517 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  735 ,  5.002 ,  345 ,  715 ,  4.978 ,  332 ,  - ,  - ,  - ,  - ,  - ,  - ,  20 ,  24 ,  13 
Estadual,  3.564 ,  43.055 ,  3.057 ,  3.564 ,  43.055 ,  3.057 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  434 ,  434 ,  434 ,  434 ,  434 ,  434 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  85.791 ,  110.051 ,  27.099 ,  25.452 ,  47.727 ,  5.981 ,  36.791 ,  29.171 ,  14.916 ,  23.548 ,  33.153 ,  6.202 ,  - ,  - ,  - ,  120 ,  120 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  120 ,  120 ,  - ,  - ,  - ,  - ,  32.764 ,  10.474 ,  3.424 ,  3.162 ,  3.324 ,  610 ,  12.788 ,  1.519 ,  1.335 ,  16.814 ,  5.631 ,  1.479 ,  - ,  - ,  - 
Roraima,  8.737 ,  35.237 ,  4.557 ,  2.472 ,  21.896 ,  1.834 ,  3.420 ,  7.185 ,  1.506 ,  2.425 ,  1.938 ,  837 ,  420 ,  4.218 ,  380 ,  111 ,  179 ,  72 ,  11 ,  118 ,  11 ,  - ,  - ,  - ,  100 ,  61 ,  61 ,  - ,  - ,  - ,  12.059 ,  1.241 ,  398 ,  531 ,  730 ,  48 ,  11.467 ,  467 ,  320 ,  61 ,  44 ,  30 ,  - ,  - ,  - 
Pública,  2.892 ,  26.114 ,  2.214 ,  2.472 ,  21.896 ,  1.834 ,  - ,  - ,  - ,  - ,  - ,  - ,  420 ,  4.218 ,  380 ,  11 ,  118 ,  11 ,  11 ,  118 ,  11 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  531 ,  730 ,  48 ,  531 ,  730 ,  48 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Federal,  2.237 ,  22.526 ,  1.896 ,  1.817 ,  18.308 ,  1.516 ,  - ,  - ,  - ,  - ,  - ,  - ,  420 ,  4.218 ,  380 ,  11 ,  118 ,  11 ,  11 ,  118 ,  11 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  253 ,  350 ,  43 ,  253 ,  350 ,  43 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Estadual,  655 ,  3.588 ,  318 ,  655 ,  3.588 ,  318 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  278 ,  380 ,  5 ,  278 ,  380 ,  5 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  5.845 ,  9.123 ,  2.343 ,  - ,  - ,  - ,  3.420 ,  7.185 ,  1.506 ,  2.425 ,  1.938 ,  837 ,  - ,  - ,  - ,  100 ,  61 ,  61 ,  - ,  - ,  - ,  - ,  - ,  - ,  100 ,  61 ,  61 ,  - ,  - ,  - ,  11.528 ,  511 ,  350 ,  - ,  - ,  - ,  11.467 ,  467 ,  320 ,  61 ,  44 ,  30 ,  - ,  - ,  - 
Pará,  108.210 ,  410.367 ,  41.426 ,  46.480 ,  235.681 ,  20.618 ,  8.929 ,  14.874 ,  4.320 ,  51.305 ,  56.384 ,  15.102 ,  1.496 ,  103.428 ,  1.386 ,  1.628 ,  2.051 ,  514 ,  1.576 ,  2.026 ,  514 ,  - ,  - ,  - ,  52 ,  25 ,  - ,  - ,  - ,  - ,  71.808 ,  17.594 ,  5.054 ,  6.783 ,  5.495 ,  1.076 ,  2.512 ,  1.531 ,  631 ,  62.511 ,  10.564 ,  3.347 ,  2 ,  4 ,  - 
Pública,  20.374 ,  332.031 ,  17.058 ,  18.878 ,  228.603 ,  15.672 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.496 ,  103.428 ,  1.386 ,  1.576 ,  2.026 ,  514 ,  1.576 ,  2.026 ,  514 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.558 ,  4.183 ,  784 ,  2.556 ,  4.179 ,  784 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  4 ,  - 
Federal,  15.335 ,  270.367 ,  14.137 ,  13.839 ,  166.939 ,  12.751 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.496 ,  103.428 ,  1.386 ,  664 ,  1.114 ,  510 ,  664 ,  1.114 ,  510 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.295 ,  3.900 ,  759 ,  2.293 ,  3.896 ,  759 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  4 ,  - 
Estadual,  5.039 ,  61.664 ,  2.921 ,  5.039 ,  61.664 ,  2.921 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  912 ,  912 ,  4 ,  912 ,  912 ,  4 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  263 ,  283 ,  25 ,  263 ,  283 ,  25 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  87.836 ,  78.336 ,  24.368 ,  27.602 ,  7.078 ,  4.946 ,  8.929 ,  14.874 ,  4.320 ,  51.305 ,  56.384 ,  15.102 ,  - ,  - ,  - ,  52 ,  25 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  52 ,  25 ,  - ,  - ,  - ,  - ,  69.250 ,  13.411 ,  4.270 ,  4.227 ,  1.316 ,  292 ,  2.512 ,  1.531 ,  631 ,  62.511 ,  10.564 ,  3.347 ,  - ,  - ,  - 
Amapá,  14.164 ,  90.954 ,  7.699 ,  2.390 ,  46.928 ,  1.399 ,  - ,  - ,  - ,  11.169 ,  29.570 ,  5.704 ,  605 ,  14.456 ,  596 ,  165 ,  175 ,  52 ,  - ,  - ,  - ,  - ,  - ,  - ,  165 ,  175 ,  52 ,  - ,  - ,  - ,  11.442 ,  2.584 ,  650 ,  - ,  - ,  - ,  - ,  - ,  - ,  11.130 ,  2.194 ,  500 ,  312 ,  390 ,  150 
Pública,  2.995 ,  61.384 ,  1.995 ,  2.390 ,  46.928 ,  1.399 ,  - ,  - ,  - ,  - ,  - ,  - ,  605 ,  14.456 ,  596 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  312 ,  390 ,  150 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  312 ,  390 ,  150 
Federal,  2.365 ,  52.176 ,  1.504 ,  1.760 ,  37.720 ,  908 ,  - ,  - ,  - ,  - ,  - ,  - ,  605 ,  14.456 ,  596 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  312 ,  390 ,  150 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  312 ,  390 ,  150 
Estadual,  630 ,  9.208 ,  491 ,  630 ,  9.208 ,  491 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  11.169 ,  29.570 ,  5.704 ,  - ,  - ,  - ,  - ,  - ,  - ,  11.169 ,  29.570 ,  5.704 ,  - ,  - ,  - ,  165 ,  175 ,  52 ,  - ,  - ,  - ,  - ,  - ,  - ,  165 ,  175 ,  52 ,  - ,  - ,  - ,  11.130 ,  2.194 ,  500 ,  - ,  - ,  - ,  - ,  - ,  - ,  11.130 ,  2.194 ,  500 ,  - ,  - ,  - 
Tocantins,  24.692 ,  108.630 ,  12.025 ,  5.706 ,  69.117 ,  4.717 ,  5.800 ,  5.147 ,  1.537 ,  11.551 ,  15.380 ,  4.212 ,  1.635 ,  18.986 ,  1.559 ,  199 ,  100 ,  65 ,  100 ,  100 ,  65 ,  - ,  - ,  - ,  99 ,  - ,  - ,  - ,  - ,  - ,  19.368 ,  6.865 ,  1.933 ,  4.349 ,  2.451 ,  686 ,  7.545 ,  1.090 ,  398 ,  6.416 ,  3.087 ,  723 ,  1.058 ,  237 ,  126 
Pública,  7.841 ,  88.229 ,  6.368 ,  5.706 ,  69.117 ,  4.717 ,  - ,  - ,  - ,  500 ,  126 ,  92 ,  1.635 ,  18.986 ,  1.559 ,  100 ,  100 ,  65 ,  100 ,  100 ,  65 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  5.407 ,  2.688 ,  812 ,  4.349 ,  2.451 ,  686 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.058 ,  237 ,  126 
Federal,  5.191 ,  80.825 ,  4.738 ,  3.556 ,  61.839 ,  3.179 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.635 ,  18.986 ,  1.559 ,  100 ,  100 ,  65 ,  100 ,  100 ,  65 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  3.255 ,  1.948 ,  622 ,  2.197 ,  1.711 ,  496 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.058 ,  237 ,  126 
Estadual,  640 ,  1.200 ,  565 ,  640 ,  1.200 ,  565 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  416 ,  224 ,  88 ,  416 ,  224 ,  88 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  2.010 ,  6.204 ,  1.065 ,  1.510 ,  6.078 ,  973 ,  - ,  - ,  - ,  500 ,  126 ,  92 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.736 ,  516 ,  102 ,  1.736 ,  516 ,  102 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Privada,  16.851 ,  20.401 ,  5.657 ,  - ,  - ,  - ,  5.800 ,  5.147 ,  1.537 ,  11.051 ,  15.254 ,  4.120 ,  - ,  - ,  - ,  99 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  99 ,  - ,  - ,  - ,  - ,  - ,  13.961 ,  4.177 ,  1.121 ,  - ,  - ,  - ,  7.545 ,  1.090 ,  398 ,  6.416 ,  3.087 ,  723 ,  - ,  - ,  - 
