Unidade da Federação/Categoria Administrativa,Vagas Oferecidas Total Geral,Candidatos Inscritos Total Geral,Ingressos Total Geral,Vagas Oferecidas Universidades,Candidatos Inscritos Universidades,Ingressos Universidades,Vagas Oferecidas Centros Universitários,Candidatos Inscritos Centros Universitários,Ingressos Centros Universitários,Vagas Oferecidas Faculdades Integradas,Candidatos Inscritos Faculdades Integradas,Ingressos Faculdades Integradas,"Vagas Oferecidas Faculdades, Escolas e Institutos","Candidatos Inscritos Faculdades, Escolas e Institutos","Ingressos Faculdades, Escolas e Institutos",Vagas Oferecidas CET/FaT,Candidatos Inscritos CET/FaT,Ingressos CET/FaT
Particular,  85.425 ,  109.289 ,  48.153 ,  5.200 ,  7.966 ,  2.847 ,  12.318 ,  18.190 ,  9.053 ,  3.635 ,  3.953 ,  2.529 ,  60.873 ,  76.429 ,  32.327 ,  3.399 ,  2.751 ,  1.397 
Comun/Confes/Filant,  128.923 ,  201.669 ,  81.074 ,  78.293 ,  132.021 ,  51.006 ,  27.556 ,  33.084 ,  15.952 ,  3.671 ,  3.423 ,  2.102 ,  19.403 ,  33.141 ,  12.014 , - , - , - 
Espírito Santo,  47.911 ,  98.124 ,  25.737 ,  2.805 ,  25.683 ,  2.768 ,  7.096 ,  27.137 ,  3.805 ,  4.990 ,  6.346 ,  2.968 ,  30.862 ,  35.338 ,  14.945 ,  2.158 ,  3.620 ,  1.251 
Pública,  3.833 ,  27.272 ,  3.654 ,  2.805 ,  25.683 ,  2.768 , - , - , - , - , - , - ,  671 ,  728 ,  538 ,  357 ,  861 ,  348 
Federal,  3.162 ,  26.544 ,  3.116 ,  2.805 ,  25.683 ,  2.768 , - , - , - , - , - , - , - , - , - ,  357 ,  861 ,  348 
Estadual,  111 ,  121 ,  84 , - , - , - , - , - , - , - , - , - ,  111 ,  121 ,  84 , - , - , - 
Municipal,  560 ,  607 ,  454 , - , - , - , - , - , - , - , - , - ,  560 ,  607 ,  454 , - , - , - 
Privada,  44.078 ,  70.852 ,  22.083 , - , - , - ,  7.096 ,  27.137 ,  3.805 ,  4.990 ,  6.346 ,  2.968 ,  30.191 ,  34.610 ,  14.407 ,  1.801 ,  2.759 ,  903 
Particular,  33.801 ,  55.037 ,  15.686 , - , - , - ,  3.360 ,  23.608 ,  1.816 ,  4.990 ,  6.346 ,  2.968 ,  23.650 ,  22.324 ,  9.999 ,  1.801 ,  2.759 ,  903 
Comun/Confes/Filant,  10.277 ,  15.815 ,  6.397 , - , - , - ,  3.736 ,  3.529 ,  1.989 , - , - , - ,  6.541 ,  12.286 ,  4.408 , - , - , - 
